"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Johnston County, NC"	"37101"	26	196708	1.32
	"Mecklenburg County, NC"	"37119"	116	1076837	1.08
	"Moore County, NC"	"37125"	23	97264	2.36
	"Nash County, NC"	"37127"	19	93991	Unreliable
	"New Hanover County, NC"	"37129"	43	227198	1.89
	"Onslow County, NC"	"37133"	34	193893	1.75
	"Orange County, NC"	"37135"	21	144946	1.45
	"Pitt County, NC"	"37147"	21	179042	1.17
	"Randolph County, NC"	"37151"	29	143282	2.02
	"Robeson County, NC"	"37155"	24	132606	1.81
	"Rockingham County, NC"	"37157"	12	90949	Unreliable
	"Rowan County, NC"	"37159"	33	140644	2.35
	"Rutherford County, NC"	"37161"	12	66551	Unreliable
	"Stanly County, NC"	"37167"	15	61482	Unreliable
	"Stokes County, NC"	"37169"	10	45717	Unreliable
	"Surry County, NC"	"37171"	30	72224	4.15
	"Transylvania County, NC"	"37175"	12	33956	Unreliable
	"Union County, NC"	"37179"	26	231366	1.12
	"Wake County, NC"	"37183"	105	1072203	0.98
	"Watauga County, NC"	"37189"	11	55121	Unreliable
	"Wayne County, NC"	"37191"	13	124172	Unreliable
	"Wilkes County, NC"	"37193"	15	68576	Unreliable
	"Burleigh County, ND"	"38015"	19	95030	Unreliable
	"Cass County, ND"	"38017"	28	177787	1.57
	"Grand Forks County, ND"	"38035"	16	70795	Unreliable
	"Ward County, ND"	"38101"	11	68946	Unreliable
	"Allen County, OH"	"39003"	14	103198	Unreliable
	"Ashtabula County, OH"	"39007"	28	97807	2.86
	"Belmont County, OH"	"39013"	12	68029	Unreliable
	"Butler County, OH"	"39017"	51	380604	1.34
	"Clark County, OH"	"39023"	24	134557	1.78
	"Clermont County, OH"	"39025"	28	204214	1.37
	"Columbiana County, OH"	"39029"	18	103077	Unreliable
	"Cuyahoga County, OH"	"39035"	161	1248514	1.29
	"Delaware County, OH"	"39041"	17	200464	Unreliable
	"Erie County, OH"	"39043"	11	74817	Unreliable
	"Fairfield County, OH"	"39045"	20	154733	1.29
	"Franklin County, OH"	"39049"	161	1291981	1.25
	"Geauga County, OH"	"39055"	12	93918	Unreliable
	"Greene County, OH"	"39057"	21	166752	1.26
	"Hamilton County, OH"	"39061"	114	813822	1.40
	"Hancock County, OH"	"39063"	11	75754	Unreliable
	"Jackson County, OH"	"39079"	10	32449	Unreliable
	"Jefferson County, OH"	"39081"	10	66359	Unreliable
	"Lake County, OH"	"39085"	35	230117	1.52
	"Licking County, OH"	"39089"	32	173448	1.84
	"Logan County, OH"	"39091"	10	45325	Unreliable
	"Lorain County, OH"	"39093"	61	307924	1.98
	"Lucas County, OH"	"39095"	75	430887	1.74
	"Madison County, OH"	"39097"	10	44036	Unreliable
	"Mahoning County, OH"	"39099"	36	229796	1.57
	"Marion County, OH"	"39101"	10	64967	Unreliable
	"Medina County, OH"	"39103"	29	178371	1.63
	"Miami County, OH"	"39109"	14	105122	Unreliable
	"Montgomery County, OH"	"39113"	83	531542	1.56
	"Muskingum County, OH"	"39119"	14	86149	Unreliable
	"Pickaway County, OH"	"39129"	12	57830	Unreliable
	"Portage County, OH"	"39133"	18	162277	Unreliable
	"Richland County, OH"	"39139"	17	120589	Unreliable
	"Ross County, OH"	"39141"	15	77313	Unreliable
	"Sandusky County, OH"	"39143"	11	59195	Unreliable
	"Scioto County, OH"	"39145"	10	75929	Unreliable
	"Seneca County, OH"	"39147"	10	55243	Unreliable
	"Stark County, OH"	"39151"	70	372542	1.88
	"Summit County, OH"	"39153"	94	541228	1.74
	"Trumbull County, OH"	"39155"	46	200380	2.30
	"Tuscarawas County, OH"	"39157"	15	92297	Unreliable
	"Warren County, OH"	"39165"	28	228882	1.22
	"Washington County, OH"	"39167"	13	60418	Unreliable
	"Wayne County, OH"	"39169"	16	116038	Unreliable
	"Wood County, OH"	"39173"	14	130492	Unreliable
	"Bryan County, OK"	"40013"	12	46319	Unreliable
	"Canadian County, OK"	"40017"	30	139926	2.14
	"Carter County, OK"	"40019"	10	48190	Unreliable
	"Cleveland County, OK"	"40027"	53	279641	1.90
	"Comanche County, OK"	"40031"	23	121526	1.89
	"Creek County, OK"	"40037"	10	71704	Unreliable
	"Garfield County, OK"	"40047"	14	61581	Unreliable
	"Kay County, OK"	"40071"	12	44544	Unreliable
	"Logan County, OK"	"40083"	14	46784	Unreliable
	"McClain County, OK"	"40087"	11	39343	Unreliable
	"Mayes County, OK"	"40097"	11	40921	Unreliable
	"Muskogee County, OK"	"40101"	15	69086	Unreliable
	"Oklahoma County, OK"	"40109"	122	787958	1.55
	"Ottawa County, OK"	"40115"	10	31312	Unreliable
	"Payne County, OK"	"40119"	12	81575	Unreliable
	"Pittsburg County, OK"	"40121"	12	44184	Unreliable
	"Pottawatomie County, OK"	"40125"	12	72226	Unreliable
	"Rogers County, OK"	"40131"	12	91444	Unreliable
	"Sequoyah County, OK"	"40135"	10	41252	Unreliable
	"Tulsa County, OK"	"40143"	117	646266	1.81
	"Wagoner County, OK"	"40145"	16	78657	Unreliable
	"Washington County, OK"	"40147"	10	51932	Unreliable
	"Benton County, OR"	"41003"	18	90951	Unreliable
	"Clackamas County, OR"	"41005"	67	412672	1.62
	"Coos County, OR"	"41011"	16	63888	Unreliable
	"Curry County, OR"	"41015"	14	22669	Unreliable
	"Deschutes County, OR"	"41017"	57	186875	3.05
	"Douglas County, OR"	"41019"	26	109405	2.38
	"Jackson County, OR"	"41029"	53	217479	2.44
	"Josephine County, OR"	"41033"	29	86352	3.36
	"Klamath County, OR"	"41035"	27	66935	4.03
	"Lane County, OR"	"41039"	88	374748	2.35
	"Lincoln County, OR"	"41041"	19	48920	Unreliable
	"Linn County, OR"	"41043"	29	125047	2.32
	"Marion County, OR"	"41047"	58	341286	1.70
	"Multnomah County, OR"	"41051"	136	807555	1.68
	"Umatilla County, OR"	"41059"	20	76985	2.60
	"Washington County, OR"	"41067"	74	588957	1.26
	"Yamhill County, OR"	"41071"	16	105722	Unreliable
	"Adams County, PA"	"42001"	18	102336	Unreliable
	"Allegheny County, PA"	"42003"	212	1223048	1.73
	"Armstrong County, PA"	"42005"	15	65642	Unreliable
	"Beaver County, PA"	"42007"	28	166140	1.69
	"Bedford County, PA"	"42009"	11	48480	Unreliable
	"Berks County, PA"	"42011"	69	417854	1.65
	"Blair County, PA"	"42013"	19	123457	Unreliable
	"Bradford County, PA"	"42015"	14	60853	Unreliable
	"Bucks County, PA"	"42017"	86	628341	1.37
	"Butler County, PA"	"42019"	30	187108	1.60
	"Cambria County, PA"	"42021"	27	133054	2.03
	"Carbon County, PA"	"42025"	13	63853	Unreliable
	"Centre County, PA"	"42027"	18	162660	Unreliable
	"Chester County, PA"	"42029"	73	519293	1.41
	"Clearfield County, PA"	"42033"	20	79685	2.51
	"Clinton County, PA"	"42035"	11	38998	Unreliable
	"Columbia County, PA"	"42037"	15	65932	Unreliable
	"Crawford County, PA"	"42039"	16	86159	Unreliable
	"Cumberland County, PA"	"42041"	39	250066	1.56
	"Dauphin County, PA"	"42043"	40	275710	1.45
	"Delaware County, PA"	"42045"	84	564696	1.49
	"Erie County, PA"	"42049"	59	274541	2.15
	"Fayette County, PA"	"42051"	20	131504	1.52
	"Franklin County, PA"	"42055"	20	154234	1.30
	"Huntingdon County, PA"	"42061"	10	45491	Unreliable
	"Indiana County, PA"	"42063"	13	84953	Unreliable
	"Lackawanna County, PA"	"42069"	29	210761	1.38
	"Lancaster County, PA"	"42071"	63	542903	1.16
	"Lawrence County, PA"	"42073"	15	87069	Unreliable
	"Lebanon County, PA"	"42075"	19	139754	Unreliable
	"Lehigh County, PA"	"42077"	55	366494	1.50
	"Luzerne County, PA"	"42079"	68	317343	2.14
	"Lycoming County, PA"	"42081"	19	113841	Unreliable
	"Mercer County, PA"	"42085"	19	111750	Unreliable
	"Monroe County, PA"	"42089"	28	168046	1.67
	"Montgomery County, PA"	"42091"	112	826075	1.36
	"Northampton County, PA"	"42095"	61	303405	2.01
	"Northumberland County, PA"	"42097"	11	92029	Unreliable
	"Perry County, PA"	"42099"	11	46127	Unreliable
	"Philadelphia County, PA"	"42101"	163	1580863	1.03
	"Schuylkill County, PA"	"42107"	32	142569	2.24
