"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Washington County, RI"	"44009"	Suppressed	631867	Suppressed	Suppressed
	"Abbeville County, SC"	"45001"	11	124498	Unreliable	0.0124%
	"Aiken County, SC"	"45003"	67	830395	8.0684	0.0756%
	"Allendale County, SC"	"45005"	15	47014	Unreliable	0.0169%
	"Anderson County, SC"	"45007"	93	973471	9.5534	0.1049%
	"Bamberg County, SC"	"45009"	Suppressed	74307	Suppressed	Suppressed
	"Barnwell County, SC"	"45011"	22	108631	20.2520	0.0248%
	"Beaufort County, SC"	"45013"	53	897272	5.9068	0.0598%
	"Berkeley County, SC"	"45015"	68	1023846	6.6416	0.0767%
	"Calhoun County, SC"	"45017"	Suppressed	74214	Suppressed	Suppressed
	"Charleston County, SC"	"45019"	227	1941002	11.6950	0.2560%
	"Cherokee County, SC"	"45021"	14	281854	Unreliable	0.0158%
	"Chester County, SC"	"45023"	16	161664	Unreliable	0.0180%
	"Chesterfield County, SC"	"45025"	19	230300	Unreliable	0.0214%
