"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Daviess County, IN"	"18027"	Suppressed	33113	Suppressed
	"Dearborn County, IN"	"18029"	Suppressed	49741	Suppressed
	"Decatur County, IN"	"18031"	Suppressed	26737	Suppressed
	"De Kalb County, IN"	"18033"	Suppressed	42836	Suppressed
	"Delaware County, IN"	"18035"	Suppressed	115184	Suppressed
	"Dubois County, IN"	"18037"	Suppressed	42558	Suppressed
	"Elkhart County, IN"	"18039"	12	205032	Unreliable
	"Fayette County, IN"	"18041"	Suppressed	23209	Suppressed
	"Floyd County, IN"	"18043"	Suppressed	77071	Suppressed
	"Fountain County, IN"	"18045"	Suppressed	16505	Suppressed
	"Franklin County, IN"	"18047"	Suppressed	22619	Suppressed
	"Fulton County, IN"	"18049"	Suppressed	20059	Suppressed
	"Gibson County, IN"	"18051"	Suppressed	33576	Suppressed
	"Grant County, IN"	"18053"	Suppressed	66491	Suppressed
	"Greene County, IN"	"18055"	Suppressed	32177	Suppressed
	"Hamilton County, IN"	"18057"	Suppressed	323747	Suppressed
	"Hancock County, IN"	"18059"	Suppressed	74985	Suppressed
	"Harrison County, IN"	"18061"	Suppressed	39898	Suppressed
	"Hendricks County, IN"	"18063"	Suppressed	163685	Suppressed
	"Henry County, IN"	"18065"	Suppressed	48476	Suppressed
	"Howard County, IN"	"18067"	Suppressed	82363	Suppressed
	"Huntington County, IN"	"18069"	Suppressed	36337	Suppressed
	"Jackson County, IN"	"18071"	Suppressed	43884	Suppressed
	"Jasper County, IN"	"18073"	Suppressed	33447	Suppressed
	"Jay County, IN"	"18075"	Suppressed	20945	Suppressed
	"Jefferson County, IN"	"18077"	Suppressed	32089	Suppressed
	"Jennings County, IN"	"18079"	Suppressed	27626	Suppressed
	"Johnson County, IN"	"18081"	Suppressed	153897	Suppressed
	"Knox County, IN"	"18083"	Suppressed	37508	Suppressed
	"Kosciusko County, IN"	"18085"	Suppressed	79206	Suppressed
	"Lagrange County, IN"	"18087"	Suppressed	39303	Suppressed
	"Lake County, IN"	"18089"	73	485640	15.0317
	"La Porte County, IN"	"18091"	Suppressed	110029	Suppressed
	"Lawrence County, IN"	"18093"	Suppressed	45666	Suppressed
	"Madison County, IN"	"18095"	Suppressed	129498	Suppressed
	"Marion County, IN"	"18097"	167	950082	17.5774
	"Marshall County, IN"	"18099"	Suppressed	46498	Suppressed
	"Martin County, IN"	"18101"	Suppressed	10215	Suppressed
	"Miami County, IN"	"18103"	Suppressed	35845	Suppressed
	"Monroe County, IN"	"18105"	Suppressed	146986	Suppressed
	"Montgomery County, IN"	"18107"	Suppressed	38525	Suppressed
	"Morgan County, IN"	"18109"	Suppressed	69713	Suppressed
	"Newton County, IN"	"18111"	Suppressed	14130	Suppressed
	"Noble County, IN"	"18113"	Suppressed	47452	Suppressed
